timestamp,event_type,cycle_id,data,metadata
1755192524.2669268,T1_image,cycle_570_1755192524266,640x480,
1755192524.2904997,T4a_wrist_tf,cycle_570_1755192524266,wrist,
1755192524.3006387,T1_image,cycle_571_1755192524300,640x480,
1755192524.320451,T4a_wrist_tf,cycle_571_1755192524300,wrist,
1755192524.333854,T5_command,cycle_571_1755192524300,gripper_open,
1755192524.3383126,T1_image,cycle_572_1755192524338,640x480,
1755192524.3463547,T6_feedback,cycle_572_1755192524338,success:True,
1755192524.3640003,T5_command,cycle_572_1755192524338,arm_pose,
1755192524.3702247,T1_image,cycle_573_1755192524370,640x480,
1755192524.3720555,T6_feedback,cycle_573_1755192524370,success:True,
1755192524.3970377,T4a_wrist_tf,cycle_572_1755192524338,wrist,
1755192524.4031284,T1_image,cycle_574_1755192524403,640x480,
1755192524.4213202,T4a_wrist_tf,cycle_573_1755192524370,wrist,
1755192524.4348688,T1_image,cycle_575_1755192524434,640x480,
1755192524.4506702,T4a_wrist_tf,cycle_574_1755192524403,wrist,
1755192524.4683802,T1_image,cycle_576_1755192524468,640x480,
1755192524.4718604,T4a_wrist_tf,cycle_575_1755192524434,wrist,
1755192524.490858,T4a_wrist_tf,cycle_576_1755192524468,wrist,
1755192524.5009887,T1_image,cycle_577_1755192524500,640x480,
1755192524.5271814,T4a_wrist_tf,cycle_577_1755192524500,wrist,
1755192524.536536,T1_image,cycle_578_1755192524536,640x480,
1755192524.5616794,T4a_wrist_tf,cycle_578_1755192524536,wrist,
1755192524.5695567,T1_image,cycle_579_1755192524569,640x480,
1755192524.6081119,T1_image,cycle_580_1755192524608,640x480,
1755192524.6088727,T4a_wrist_tf,cycle_579_1755192524569,wrist,
1755192524.61654,T5_command,cycle_580_1755192524608,gripper_open,
1755192524.6286073,T6_feedback,cycle_580_1755192524608,success:True,
1755192524.6360497,T1_image,cycle_581_1755192524636,640x480,
1755192524.6380944,T5_command,cycle_581_1755192524636,arm_pose,
1755192524.641485,T4a_wrist_tf,cycle_580_1755192524608,wrist,
1755192524.653642,T6_feedback,cycle_581_1755192524636,success:True,
1755192524.6660597,T4a_wrist_tf,cycle_581_1755192524636,wrist,
1755192524.6765468,T1_image,cycle_582_1755192524676,640x480,
1755192524.6890109,T4a_wrist_tf,cycle_582_1755192524676,wrist,
1755192524.7022393,T1_image,cycle_583_1755192524702,640x480,
1755192524.7246919,T4a_wrist_tf,cycle_583_1755192524702,wrist,
1755192524.7348652,T1_image,cycle_584_1755192524734,640x480,
1755192524.7630296,T4a_wrist_tf,cycle_584_1755192524734,wrist,
1755192524.7730527,T1_image,cycle_585_1755192524773,640x480,
1755192524.7914474,T4a_wrist_tf,cycle_585_1755192524773,wrist,
1755192524.801042,T1_image,cycle_586_1755192524801,640x480,
1755192524.8218105,T4a_wrist_tf,cycle_586_1755192524801,wrist,
1755192524.8374367,T1_image,cycle_587_1755192524837,640x480,
1755192524.8497753,T5_command,cycle_587_1755192524837,gripper_open,
1755192524.9397662,T6_feedback,cycle_587_1755192524837,success:True,
1755192524.9408677,T4a_wrist_tf,cycle_587_1755192524837,wrist,
1755192524.9415834,T4a_wrist_tf,cycle_587_1755192524837,wrist,
1755192524.9475157,T6_feedback,cycle_587_1755192524837,success:True,
1755192524.9481378,T5_command,cycle_587_1755192524837,arm_pose,
1755192524.9493268,T1_image,cycle_588_1755192524871,640x480,
1755192524.952443,T1_image,cycle_589_1755192524952,640x480,
1755192524.9535048,T1_image,cycle_590_1755192524953,640x480,
1755192524.969028,T1_image,cycle_591_1755192524968,640x480,
1755192524.9879458,T4a_wrist_tf,cycle_589_1755192524952,wrist,
1755192525.0027342,T1_image,cycle_592_1755192525002,640x480,
1755192525.0179703,T4a_wrist_tf,cycle_590_1755192524953,wrist,
1755192525.0373328,T1_image,cycle_593_1755192525037,640x480,
1755192525.0539355,T4a_wrist_tf,cycle_591_1755192524968,wrist,
1755192525.0740285,T1_image,cycle_594_1755192525073,640x480,
1755192525.0871296,T4a_wrist_tf,cycle_592_1755192525002,wrist,
1755192525.102514,T1_image,cycle_595_1755192525102,640x480,
1755192525.1199474,T5_command,cycle_595_1755192525102,gripper_open,
1755192525.1234715,T4a_wrist_tf,cycle_593_1755192525037,wrist,
1755192525.1255896,T6_feedback,cycle_595_1755192525102,success:True,
1755192525.132092,T5_command,cycle_595_1755192525102,arm_pose,
1755192525.1388698,T1_image,cycle_596_1755192525138,640x480,
1755192525.1441932,T6_feedback,cycle_596_1755192525138,success:True,
1755192525.1540182,T4a_wrist_tf,cycle_594_1755192525073,wrist,
1755192525.1681526,T1_image,cycle_597_1755192525168,640x480,
1755192525.1761332,T4a_wrist_tf,cycle_595_1755192525102,wrist,
1755192525.195338,T4a_wrist_tf,cycle_596_1755192525138,wrist,
1755192525.202387,T1_image,cycle_598_1755192525202,640x480,
1755192525.220348,T4a_wrist_tf,cycle_597_1755192525168,wrist,
1755192525.2352097,T1_image,cycle_599_1755192525235,640x480,
1755192525.2423837,T4a_wrist_tf,cycle_598_1755192525202,wrist,
1755192525.2613003,T4a_wrist_tf,cycle_599_1755192525235,wrist,
1755192525.26906,T1_image,cycle_600_1755192525269,640x480,
1755192525.2945812,T4a_wrist_tf,cycle_600_1755192525269,wrist,
1755192525.3031507,T1_image,cycle_601_1755192525303,640x480,
1755192525.3118017,T5_command,cycle_601_1755192525303,gripper_open,
1755192525.3331046,T5_command,cycle_601_1755192525303,arm_pose,
1755192525.3346784,T6_feedback,cycle_601_1755192525303,success:True,
1755192525.3417873,T1_image,cycle_602_1755192525341,640x480,
1755192525.3464987,T4a_wrist_tf,cycle_601_1755192525303,wrist,
1755192525.3485963,T6_feedback,cycle_602_1755192525341,success:True,
1755192525.3688743,T1_image,cycle_603_1755192525368,640x480,
1755192525.3771505,T4a_wrist_tf,cycle_602_1755192525341,wrist,
1755192525.3998992,T4a_wrist_tf,cycle_603_1755192525368,wrist,
1755192525.402115,T1_image,cycle_604_1755192525402,640x480,
1755192525.4272082,T4a_wrist_tf,cycle_604_1755192525402,wrist,
1755192525.4357715,T1_image,cycle_605_1755192525435,640x480,
1755192525.456384,T4a_wrist_tf,cycle_605_1755192525435,wrist,
1755192525.4706578,T1_image,cycle_606_1755192525469,640x480,
1755192525.4915946,T4a_wrist_tf,cycle_606_1755192525469,wrist,
1755192525.5032382,T1_image,cycle_607_1755192525503,640x480,
1755192525.5287929,T4a_wrist_tf,cycle_607_1755192525503,wrist,
1755192525.5398498,T1_image,cycle_608_1755192525539,640x480,
1755192525.5523245,T5_command,cycle_608_1755192525539,gripper_open,
1755192525.5642965,T6_feedback,cycle_608_1755192525539,success:True,
1755192525.57096,T1_image,cycle_609_1755192525570,640x480,
1755192525.57607,T5_command,cycle_609_1755192525570,arm_pose,
1755192525.5788877,T4a_wrist_tf,cycle_608_1755192525539,wrist,
1755192525.585911,T6_feedback,cycle_609_1755192525570,success:True,
